id,title,description,brand,ratings,ram,storage,battery,screen,camera,graphics,processor,os,price,image_url
11,Oppo A78,Stylish phone with 50MP camera and 5000mAh battery.,Oppo,4.1,8,128,5000,6.56 inch,50MP + 2MP,Mali-G57,Dimensity 700,Android 13,18999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
12,OnePlus Nord CE 3 Lite,Mid-range phone with Snapdragon 695 and 108MP camera.,OnePlus,4.2,8,128,5000,6.72 inch,108MP + 2MP + 2MP,Adreno 619,Snapdragon 695,Android 13,19999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
13,Tecno Pova 5 Pro,Gaming phone with 120Hz display and 5000mAh battery.,Tecno,4.0,8,128,5000,6.78 inch,50MP + 2MP,Mali-G57,Dimensity 6080,Android 13,15999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
14,Nokia G60 5G,Sustainable phone with Snapdragon 695 and 50MP camera.,Nokia,4.1,6,128,4500,6.58 inch,50MP + 5MP + 2MP,Adreno 619,Snapdragon 695,Android 13,19999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
15,Honor X40 GT,Gaming phone with Snapdragon 888 and 4800mAh battery.,Honor,4.3,8,256,4800,6.67 inch,50MP + 2MP + 2MP,Adreno 660,Snapdragon 888,Android 13,24999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
16,Vivo Y100,Mid-range phone with AMOLED display and 64MP camera.,Vivo,4.2,8,128,5000,6.38 inch,64MP + 2MP + 2MP,Adreno 610,Dimensity 900,Android 13,21999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
17,Google Pixel 7a,"Flagship features in a budget phone, 64MP camera.",Google,4.5,8,128,4385,6.1 inch,64MP + 13MP,Adreno 619,Google Tensor G2,Android 13,43999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
18,Apple iPhone SE (2022),"Compact phone with A15 Bionic chip, 12MP camera.",Apple,4.6,4,64,2018,4.7 inch,12MP,Apple GPU,A15 Bionic,iOS 15,42999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
19,Samsung Galaxy S23,"Flagship phone with Snapdragon 8 Gen 2, 50MP camera.",Samsung,4.7,8,128,3900,6.1 inch,50MP + 12MP + 10MP,Adreno 740,Snapdragon 8 Gen 2,Android 13,74999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
20,OnePlus 11,"Flagship phone with Snapdragon 8 Gen 2, 50MP camera.",OnePlus,4.5,8,128,5000,6.7 inch,50MP + 48MP + 32MP,Adreno 740,Snapdragon 8 Gen 2,Android 13,56999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
21,Xiaomi 13 Pro,"Premium phone with Snapdragon 8 Gen 2, 50MP camera.",Xiaomi,4.6,12,256,4820,6.73 inch,50MP + 50MP + 50MP,Adreno 740,Snapdragon 8 Gen 2,Android 13,74999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
22,Google Pixel 8,"Flagship phone with Tensor G3, 50MP camera.",Google,4.8,8,128,4575,6.2 inch,50MP + 12MP,Mali-G710,Google Tensor G3,Android 14,69999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
23,Sony Xperia 1 V,"Premium phone with Snapdragon 8 Gen 2, 12MP camera.",Sony,4.4,12,256,5000,6.5 inch,12MP + 12MP + 12MP,Adreno 740,Snapdragon 8 Gen 2,Android 13,99999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
24,Asus Zenfone 10,"Compact flagship with Snapdragon 8 Gen 2, 50MP camera.",Asus,4.5,8,128,4300,5.9 inch,50MP + 13MP,Adreno 740,Snapdragon 8 Gen 2,Android 13,59999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
25,Oppo Find N2 Flip,"Foldable phone with Snapdragon 8+ Gen 1, 50MP camera.",Oppo,4.6,8,256,4300,6.8 inch,50MP + 8MP,Mali-G610,Snapdragon 8+ Gen 1,Android 13,89999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
26,Huawei P60 Pro,"Premium phone with Snapdragon 8+ Gen 1, 48MP camera.",Huawei,4.7,8,256,4815,6.67 inch,48MP + 13MP + 12MP,Adreno 730,Snapdragon 8+ Gen 1,HarmonyOS 3.0,79999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
27,Vivo X90 Pro,"Flagship phone with Dimensity 9200, 50MP camera.",Vivo,4.8,12,256,4870,6.78 inch,50MP + 50MP + 12MP,Immortalis-G715,Dimensity 9200,Android 13,74999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
28,Xiaomi 13 Ultra,"Premium phone with Snapdragon 8 Gen 2, 50MP camera.",Xiaomi,4.9,16,512,5000,6.73 inch,50MP + 50MP + 50MP + 50MP,Adreno 740,Snapdragon 8 Gen 2,Android 13,89999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
29,Google Pixel Fold,"Foldable phone with Tensor G2, 48MP camera.",Google,4.7,12,256,4821,7.6 inch,48MP + 10.8MP + 10.8MP,Mali-G710,Google Tensor G2,Android 13,179999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
30,Sony Xperia 5 V,"Compact flagship with Snapdragon 8 Gen 2, 12MP camera.",Sony,4.5,8,128,5000,6.1 inch,12MP + 12MP + 12MP,Adreno 740,Snapdragon 8 Gen 2,Android 13,59999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
31,Asus ROG Phone 7,"Gaming phone with Snapdragon 8 Gen 2, 50MP camera.",Asus,4.8,16,512,6000,6.78 inch,50MP + 13MP + 8MP,Adreno 740,Snapdragon 8 Gen 2,Android 13,79999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
32,Oppo Reno 8 Pro,"Mid-range phone with Dimensity 8100-Max, 50MP camera.",Oppo,4.4,8,256,4500,6.7 inch,50MP + 8MP + 2MP,Mali-G610,Dimensity 8100-Max,Android 12,32999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
33,Realme GT 2 Pro,"Flagship phone with Snapdragon 8 Gen 1, 50MP camera.",Realme,4.5,12,256,5000,6.7 inch,50MP + 50MP + 2MP,Adreno 730,Snapdragon 8 Gen 1,Android 12,49999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
34,Vivo V25 Pro,"Mid-range phone with Dimensity 1300, 64MP camera.",Vivo,4.3,8,128,4830,6.56 inch,64MP + 8MP + 2MP,Mali-G77,Dimensity 1300,Android 12,32999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
35,Huawei Nova 10 Pro,"Mid-range phone with Snapdragon 778G, 50MP camera.",Huawei,4.4,8,256,4500,6.78 inch,50MP + 8MP + 2MP,Adreno 642L,Snapdragon 778G,HarmonyOS 2.0,39999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
36,Tecno Camon 19 Pro,"Mid-range phone with Helio G96, 64MP camera.",Tecno,4.0,8,128,5000,6.8 inch,64MP + 2MP + AI Lens,Mali-G57,Helio G96,Android 12,19999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
37,Lava Agni 2 5G,"Affordable 5G phone with Dimensity 7050, 50MP camera.",Lava,4.1,8,256,4700,6.78 inch,50MP + 8MP + 2MP + 2MP,Mali-G610,Dimensity 7050,Android 13,19999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
38,Nokia G11 Plus,"Budget phone with Unisoc T606, 50MP camera.",Nokia,4.0,4,64,5000,6.5 inch,50MP + 2MP,Mali-G57,Unisoc T606,Android 12,10999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
39,Honor X30,"Mid-range phone with Snapdragon 695, 48MP camera.",Honor,4.2,8,128,4800,6.8 inch,48MP + 2MP + 2MP,Adreno 619,Snapdragon 695,Android 11,17999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
40,Vivo S9,"Mid-range phone with Dimensity 1100, 64MP camera.",Vivo,4.3,12,256,4000,6.44 inch,64MP + 8MP + 2MP,Mali-G77,Dimensity 1100,Android 11,29999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
41,Realme 9 Pro+,"Mid-range phone with Dimensity 920, 50MP camera.",Realme,4.4,8,128,4500,6.4 inch,50MP + 8MP + 2MP,Mali-G68,Dimensity 920,Android 12,24999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
