id,title,description,brand,ratings,ram,storage,battery,screen,touch_screen,graphics,processor,os,price,image_url
11,Huawei MateBook X Pro,A premium laptop with a 3K touchscreen display.,Huawei,4.6,16,512,56,13.9 inch,True,NVIDIA GeForce MX250,Intel Core i7,Windows 11,125000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
12,MSI Prestige 14,A creative laptop with a powerful GPU for content creators.,MSI,4.5,16,1024,70,14 inch,False,NVIDIA GeForce GTX 1650,Intel Core i7,Windows 11,160000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
13,Toshiba Dynabook Tecra A50,A business laptop with a robust design and good performance.,Toshiba,4.2,16,512,50,15.6 inch,False,Intel UHD Graphics,Intel Core i5,Windows 11 Pro,90000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
14,Acer Aspire 5,An affordable laptop with decent performance for everyday tasks.,Acer,4.1,8,256,48,15.6 inch,False,AMD Radeon Graphics,AMD Ryzen 5,Windows 11,45000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
15,Dell XPS 13,A premium ultrabook with a stunning display and compact design.,Dell,4.7,16,512,52,13.4 inch,True,Intel Iris Xe,Intel Core i7,Windows 11,180000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
16,Lenovo Yoga 7i,A versatile 2-in-1 laptop with a premium build quality.,Lenovo,4.5,16,512,60,14 inch,True,Intel Iris Xe,Intel Core i7,Windows 11,130000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
17,HP Envy x360,A stylish 2-in-1 laptop with a vibrant display.,HP,4.6,16,512,65,15.6 inch,True,AMD Radeon Graphics,AMD Ryzen 7,Windows 11,140000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
18,Asus ROG Zephyrus G14,A powerful gaming laptop with a compact design.,Asus,4.8,16,1024,76,14 inch,False,NVIDIA GeForce RTX 3060,AMD Ryzen 9,Windows 11,200000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
19,Microsoft Surface Book 3,A premium detachable laptop with a high-resolution display.,Microsoft,4.7,16,512,60,13.5 inch,True,NVIDIA GeForce GTX 1650,Intel Core i7,Windows 11,170000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
20,Razer Blade Stealth 13,A compact gaming laptop with a sleek design.,Razer,4.5,16,512,53,13.3 inch,False,NVIDIA GeForce GTX 1650 Ti,Intel Core i7,Windows 11,150000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
21,LG Gram 14,A lightweight laptop with a long battery life and large display.,LG,4.4,16,1024,80,14 inch,False,Intel Iris Xe,Intel Core i7,Windows 11,140000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
22,Samsung Galaxy Book Flex,A premium 2-in-1 laptop with a QLED display.,Samsung,4.6,16,512,61,13.3 inch,True,Intel Iris Xe,Intel Core i7,Windows 11,150000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
23,Huawei MateBook D 15,An affordable laptop with a good balance of performance and design.,Huawei,4.3,8,256,42,15.6 inch,False,AMD Radeon Graphics,AMD Ryzen 5,Windows 11,55000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
24,MSI Modern 14,A stylish laptop designed for everyday use with a sleek design.,MSI,4.2,8,256,50,14 inch,False,Intel UHD Graphics,Intel Core i5,Windows 11,60000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
25,Toshiba Satellite Pro C50,A budget-friendly laptop with essential features for students.,Toshiba,4.0,8,256,40,15.6 inch,False,Intel UHD Graphics,Intel Core i3,Windows 11,40000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
26,Acer Aspire 7,A budget gaming laptop with decent performance for casual gamers.,Acer,4.1,8,512,48,15.6 inch,False,NVIDIA GTX 1650,AMD Ryzen 5,Windows 11,70000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
27,Dell Inspiron 15,A versatile laptop suitable for both work and entertainment.,Dell,4.3,8,512,45,15.6 inch,False,Intel UHD Graphics,Intel Core i5,Windows 11,65000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
28,Lenovo IdeaPad 3,An affordable laptop with a good balance of performance and price.,Lenovo,4.0,8,256,42,15.6 inch,False,AMD Radeon Graphics,AMD Ryzen 5,Windows 11,50000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
29,HP Pavilion 15,A stylish laptop with a good display and performance for everyday tasks.,HP,4.2,8,512,50,15.6 inch,False,Intel UHD Graphics,Intel Core i5,Windows 11,70000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
30,Asus VivoBook 15,A budget-friendly laptop with a sleek design and decent performance.,Asus,4.1,8,256,45,15.6 inch,False,AMD Radeon Graphics,AMD Ryzen 5,Windows 11,55000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
31,Acer Swift 5,A lightweight laptop with a premium design and good performance.,Acer,4.4,16,512,56,14 inch,True,Intel Iris Xe,Intel Core i7,Windows 11,120000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
32,Dell Latitude 7420,A business laptop with a focus on security and performance.,Dell,4.5,16,512,60,14 inch,False,Intel Iris Xe,Intel Core i7,Windows 11 Pro,150000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
33,Lenovo ThinkBook 14s,A stylish business laptop with a good balance of performance and design.,Lenovo,4.3,16,512,55,14 inch,False,Intel Iris Xe,Intel Core i7,Windows 11 Pro,120000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
34,HP Elite Dragonfly,A premium business laptop with a lightweight design and long battery life.,HP,4.6,16,512,70,13.3 inch,True,Intel Iris Xe,Intel Core i7,Windows 11 Pro,200000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
35,Asus ExpertBook B9,A business laptop with a focus on portability and performance.,Asus,4.5,16,512,66,14 inch,False,Intel Iris Xe,Intel Core i7,Windows 11 Pro,180000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
36,Microsoft Surface Pro 7,A versatile 2-in-1 laptop with a detachable keyboard.,Microsoft,4.4,16,512,45,12.3 inch,True,Intel Iris Plus,Intel Core i7,Windows 11,130000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
37,Razer Book 13,A productivity-focused laptop with a sleek design and powerful hardware.,Razer,4.5,16,512,53,13.4 inch,False,Intel Iris Xe,Intel Core i7,Windows 11,150000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
38,LG Gram 15,A lightweight laptop with a large display and long battery life.,LG,4.4,16,1024,80,15.6 inch,False,Intel Iris Xe,Intel Core i7,Windows 11,150000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
39,Samsung Galaxy Book Pro,A premium ultrabook with a stunning AMOLED display and long battery life.,Samsung,4.6,16,512,63,13.3 inch,True,Intel Iris Xe,Intel Core i7,Windows 11,140000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
40,Huawei MateBook X,A premium ultrabook with a sleek design and high-resolution display.,Huawei,4.5,16,512,56,13 inch,True,Intel Iris Xe,Intel Core i7,Windows 11,130000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
41,MSI Prestige 15,A creative laptop with a powerful GPU for content creators.,MSI,4.5,16,1024,70,15.6 inch,False,NVIDIA GeForce GTX 1650,Intel Core i7,Windows 11,160000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
